,사업유형,기존주택계,신규주택계,사업시작,사업완료,사업시행인가,담당자
경기도 성남시,재개발,5709,664,,,,윤강혁(031-729-4424)
경기도 성남시,재개발,3646,0,,,,한주아(031-729-4873)
경기도 성남시,재개발,11000,0,,,,김상우(031-729-4432)
경기도 성남시,재개발,4007,0,,,,이인선(031-729-4423)
경기도 성남시,재건축,585,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,426,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,498,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,264,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,375,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,570,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,990,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,270,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,493,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,2510,0,,,,장웅현(031-729-4443)
경기도 성남시,재건축,280,0,,,,장웅현(031-729-4443)
경기도 성남시,도시환경,713,1123,2006,2025,,유진희(031-729-4473)
경기도 성남시,재건축,2147,3314,2017,,,장웅현(031-729-4443)
경기도 성남시,재건축,709,818,2015,,,이경동(031-729-4442)
경기도 성남시,재개발,6075,5090,2014,2023,'20.01.13,김상우(031-729-4432)
경기도 성남시,재개발,4499,3372,2014,2023,'19.04.15,이인선(031-729-4423)
경기도 성남시,도시환경,1345,1972,2006,2023,'19.03.25,정혜인(031-729-4472)
경기도 성남시,재개발,6488,4774,2008,2023,'09.12.04,윤강혁(031-729-4424)
경기도 성남시,재개발,3715,2411,2008,2022,'09.12.04,최진수(031-729-4434)
경기도 성남시,재개발,7499,5320,2008,2022,'09.12.04,노희경(031-729-4433)
경기도 성남시,재건축,638,711,2013,2021,'16.06.08,장웅현(031-729-4443)
경기도 성남시,재건축,2406,4089,2011,2020,'15.07.24,이경동(031-729-4442)
경기도 성남시,주거환경관리,1219,0,2014,,'20.02.17,신동호(031-729-4452)
경기도 성남시,주거환경관리,499,0,2014,,'20.02.17,변도현(031-729-4454)
경기도 성남시,주거환경관리,905,0,2015,,'19.12.30,신동호(031-729-4452)
경기도 성남시,재개발,1897,1228,2002,2013,'11.07.21,윤강혁(031-729-4424)
경기도 성남시,재개발,898,672,2003,2013,'11.07.14,노희경(031-729-4433)
경기도 성남시,재건축,470,503,2010,2018,'12.05.17,장웅현(031-729-4443)
경기도 성남시,재건축,235,356,2007,2012,'07.06.25,장웅현(031-729-4443)
경기도 성남시,재건축,544,751,2007,2012,'07.08.07,장웅현(031-729-4443)
경기도 성남시,주거환경개선,712,0,2004,2008,'04.06.29,변도현(031-729-4454)
경기도 성남시,주거환경개선,7669,0,2006,2015,'09.06.15,변도현(031-729-4454)
경기도 성남시,주거환경관리,746,0,2015,2018,'17.01.23,변도현(031-729-4454)
경기도 용인시,재개발,145,0,,,,박상준(031-324-2408)
경기도 용인시,재개발,53,0,,,,박상준(031-324-2408)
경기도 용인시,재개발,562,0,,,,박상준(031-324-2408)
경기도 용인시,주거환경개선,215,0,2017,,,박상준(031-324-2408)
경기도 용인시,재개발,242,740,2007,,,홍순오(031-324-2407)
경기도 용인시,재개발,143,323,2007,,'11.04.26,홍순오(031-324-2407)
경기도 용인시,주거환경개선,105,0,2017,,'20.02.17,홍순오(031-324-2407)
경기도 용인시,주거환경개선,318,0,2017,,'19.12.03,박상준(031-324-2408)
경기도 용인시,주거환경개선,218,0,2017,,'19.12.02,박상준(031-324-2408)
경기도 용인시,주거환경개선,112,0,2017,,'19.12.02,홍순오(031-324-2407)
경기도 용인시,주거환경개선,352,0,2015,,'17.12.27,박상준(031-324-2408)
경기도 용인시,재개발,603,1308,2007,,'11.07.07,박상준(031-324-2408)
경기도 용인시,재건축,209,452,2009,2018,'15.10.22,박상준(031-324-2408)
경기도 용인시,재건축,450,484,2005,2009,'06.07.11,박상준(031-324-2408)
경기도 용인시,재건축,560,612,2003,2013,'09.06.22,박상준(031-324-2408)
경기도 용인시,주거환경개선,211,0,2007,2013,'11.04.27,박상준(031-324-2408)
경기도 용인시,주거환경개선,242,0,2007,2013,'11.04.27,박상준(031-324-2408)
경기도 용인시,주거환경개선,175,0,2007,2013,'11.04.27,박상준(031-324-2408)
경기도 용인시,주거환경개선,134,0,2007,2013,'11.04.27,박상준(031-324-2408)
경기도 부천시,재건축,224,0,2018,2030,,강경현(032-625-3744)
경기도 부천시,재건축,290,0,2018,2030,,강경현(032-625-3744)
경기도 부천시,재건축,463,0,2018,2030,,강경현(032-625-3744)
경기도 부천시,재건축,495,0,2018,2030,,강경현(032-625-3744)
경기도 부천시,재건축,916,0,2018,2030,,강경현(032-625-3744)
경기도 부천시,재건축,320,0,2019,2030,,강경현(032-625-3744)
경기도 부천시,재건축,380,0,2019,2030,,강경현(032-625-3744)
경기도 부천시,재건축,338,0,2019,2030,,강경현(032-625-3744)
경기도 부천시,재건축,250,0,2020,2030,,강경현(032-625-3744)
경기도 부천시,재건축,264,0,2020,2030,,강경현(032-625-3744)
경기도 부천시,재건축,290,0,2020,2030,,강경현(032-625-3744)
경기도 부천시,재건축,717,0,2020,2030,,강경현(032-625-3744)
경기도 부천시,재건축,490,0,2020,2030,,강경현(032-625-3744)
경기도 부천시,재건축,382,0,2021,2030,,강경현(032-625-3744)
경기도 부천시,재건축,340,0,2021,2030,,강경현(032-625-3744)
경기도 부천시,재건축,781,0,2021,2030,,강경현(032-625-3744)
경기도 부천시,재건축,280,0,2022,2030,,강경현(032-625-3744)
경기도 부천시,재건축,682,0,2023,2030,,강경현(032-625-3744)
경기도 부천시,재건축,260,0,2023,2030,,강경현(032-625-3744)
경기도 부천시,재개발,99,334,2020,2030,,강성근(032-625-3754)
경기도 부천시,재건축,315,441,2006,,,강경현(032-625-3744)
경기도 부천시,재개발,396,602,2009,,,황지민(032-625-3753)
경기도 부천시,재개발,1555,1649,2011,2023,'20.08.06,전호철(032-625-3752)
경기도 부천시,재건축,296,413,,,,강경현(032-625-3744)
경기도 부천시,재개발,603,1728,2011,,,전호철(032-625-3752)
경기도 부천시,재개발,2567,2291,2006,,'10.07.19,강성근(032-625-3754)
경기도 부천시,재개발,551,748,2006,,'14.06.30,황지민(032-625-3753)
경기도 부천시,재건축,885,1062,2006,,'20.07.06,강경현(032-625-3744)
경기도 부천시,도시환경,590,759,2009,2023,'18.11.07,황지민(032-625-3753)
경기도 부천시,재개발,1077,3724,2006,2023,'17.01.31,정인경(032-625-3751)
경기도 부천시,재개발,671,831,2006,2021,'10.03.08,황지민(032-625-3753)
경기도 부천시,재개발,195,620,2005,2012,'07.04.02,황지민(032-625-3753)
경기도 부천시,재개발,520,1373,2005,2012,'07.04.02,황지민(032-625-3753)
경기도 부천시,재개발,114,339,2006,2020,'10.11.01,전호철(032-625-3752)
경기도 부천시,재건축,770,921,2006,2020,'14.09.22,강경현(032-625-3744)
경기도 부천시,재건축,220,354,2006,2020,'15.03.20,강경현(032-625-3744)
경기도 부천시,재건축,1040,1613,2003,2015,'07.09.10,강경현(032-625-3744)
경기도 부천시,재건축,363,403,2003,2010,'07.10.23,강경현(032-625-3744)
경기도 부천시,재건축,323,371,2006,2008,'05.05.17,강경현(032-625-3744)
경기도 부천시,재건축,2560,3090,2004,2008,'04.07.15,강경현(032-625-3744)
경기도 부천시,재건축,99,226,2006,2009,'06.06.09,강경현(032-625-3744)
경기도 안산시,재건축,1485,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,780,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,1380,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,768,1030,,,,추재철(031-481-2388)
경기도 안산시,재건축,1127,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,1072,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,410,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,413,593,,,,주상철(031-481-2909)
경기도 안산시,재건축,1020,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,1020,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,1320,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,735,989,,,,윤진희(031-481-2398)
경기도 안산시,재건축,540,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,790,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,570,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,1070,0,,,,김병식(031-481-2405)
경기도 안산시,재건축,898,1112,,,,추재철(031-481-2388)
경기도 안산시,재건축,299,378,2009,,,신미영(031-481-2386)
경기도 안산시,재건축,590,1060,2013,,,추재철(031-481-2388)
경기도 안산시,재건축,570,902,2013,,,주상철(031-481-2909)
경기도 안산시,재건축,538,1014,2013,,'20.09.08,주상철(031-481-2909)
경기도 안산시,재건축,299,446,2013,,'20.04.29,추재철(031-481-2388)
경기도 안산시,재건축,123,133,2003,,'20.05.27,윤진희(031-481-2398)
경기도 안산시,재건축,540,725,2003,,'18.07.05,신미영(031-481-2386)
경기도 안산시,재건축,297,449,2013,,'19.02.28,추재철(031-481-2388)
경기도 안산시,재건축,350,364,2008,,'14.12.31,주상철(031-481-2909)
경기도 안산시,재건축,1165,1021,2008,,'15.04.23,주상철(031-481-2909)
경기도 안산시,재건축,1126,1714,2003,,'17.05.01,추재철(031-481-2388)
경기도 안산시,재건축,1123,1450,2003,,'15.09.24,신미영(031-481-2386)
경기도 안산시,재건축,480,719,2003,2015,'15.10.27,윤진희(031-481-2398)
경기도 안산시,재건축,267,390,2003,2016,'14.04.15,신미영(031-481-2386)
경기도 안산시,재건축,1080,2017,2003,2014,'08.12.31,주상철(031-481-2909)
경기도 안산시,재건축,792,1244,2003,2016,'14.07.07,윤진희(031-481-2398)
경기도 안산시,재건축,1026,1548,2003,2016,'14.07.08,추재철(031-481-2388)
경기도 안산시,재건축,832,1238,2003,2016,'14.07.15,신미영(031-481-2386)
경기도 안산시,재건축,272,414,2003,2015,'14.07.29,주상철(031-481-2909)
경기도 안산시,재건축,723,1005,2010,2015,'14.11.21,신미영(031-481-2386)
경기도 안산시,재건축,700,1129,2003,2015,'13.11.29,추재철(031-481-2388)
경기도 안산시,재건축,500,1152,2002,2017,'13.09.16,추재철(031-481-2388)
경기도 안산시,재건축,450,990,2003,2017,'13.07.24,윤진희(031-481-2398)
경기도 안산시,재건축,400,469,2003,2015,'11.08.23,윤진희(031-481-2398)
경기도 안산시,재건축,600,766,2000,2010,'05.10.07,추재철(031-481-2388)
경기도 안산시,재건축,766,695,2003,2014,'09.02.25,윤진희(031-481-2398)
경기도 안양시,재건축,735,0,,,,고병천(031-8045-2399)
경기도 안양시,재건축,432,0,,,,권지영(031-8045-5639)
경기도 안양시,재건축,658,0,,,,이수진(031-8045-5639)
경기도 안양시,재건축,275,0,,,,이소영(031-8045-5065)
경기도 안양시,재건축,794,0,,,,고병천(031-8045-2399)
경기도 안양시,재건축,904,1305,2020,,,고병천(031-8045-2399)
경기도 안양시,재개발,1103,1713,2008,2023,,이수영(031-8045-5642)
경기도 안양시,재건축,370,507,2015,2023,,고병천(031-8045-2399)
경기도 안양시,재건축,576,702,2012,2025,,이소영(031-8045-5065)
경기도 안양시,재개발,449,853,2015,2025,'20.02.04,김우공(031-8045-5282)
경기도 안양시,재개발,538,1011,2013,2024,'19.03.25,김우공(031-8045-5282)
경기도 안양시,재개발,359,483,2009,2022,'19.03.29,김인수(031-8045-2366)
경기도 안양시,재개발,137,230,2015,2023,'19.01.31,김민중(031-8045-2382)
경기도 안양시,재건축,2052,2618,2012,2024,'20.01.14,이수진(031-8045-5639)
경기도 안양시,재건축,,271,2020,2026,'20.08.13,권지영(031-8045-5639)
경기도 안양시,재개발,1950,2739,2015,2023,'19.02.28,김민중(031-8045-2382)
경기도 안양시,재개발,1561,2417,2011,2022,'18.05.29,김종곤(031-8045-2374)
경기도 안양시,재개발,2559,2886,2010,2023,'15.07.23,이수영(031-8045-5642)
경기도 안양시,재건축,1998,2723,2009,2023,'16.09.08,권지영(031-8045-5639)
경기도 안양시,재건축,332,456,2008,2024,'09.04.27,이소영(031-8045-5065)
경기도 안양시,주거환경개선,1771,2329,2006,2023,'19.03.28,윤덕열(031-8045-2747)
경기도 안양시,재개발,519,558,2009,2022,'16.12.07,김우공(031-8045-5282)
경기도 안양시,재개발,405,1021,2010,2021,'15.05.27,윤덕열(031-8045-2747)
경기도 안양시,재개발,620,855,2009,2021,'16.06.21,김인수(031-8045-2366)
경기도 안양시,재개발,2229,2637,2009,2021,'15.09.22,김종곤(031-8045-2374)
경기도 안양시,재개발,2585,3850,2010,2021,'15.06.02,김종곤(031-8045-2374)
경기도 안양시,재개발,1068,1394,2008,2021,'10.12.06,이수영(031-8045-5642)
경기도 안양시,재건축,239,304,2015,2021,'17.11.06,이수진(031-8045-5639)
경기도 안양시,재건축,864,1199,2008,2021,'14.10.31,고병천(031-8045-2399)
경기도 안양시,재개발,4910,4250,2006,2016,'08.12.31,윤덕열(031-8045-2747)
경기도 안양시,재건축,247,419,2007,2019,'09.03.31,이수진(031-8045-5639)
경기도 안양시,재건축,900,1174,2009,2019,'14.11.07,고병천(031-8045-2399)
경기도 안양시,재건축,48,200,2011,2018,'14.01.28,권지영(031-8045-5639)
경기도 안양시,재건축,577,742,2006,2010,'07.04.10,권지영(031-8045-5639)
경기도 안양시,재건축,472,542,2005,2009,'05.10.27,권지영(031-8045-5639)
경기도 안양시,재건축,848,1134,2005,2009,'05.12.13,권지영(031-8045-5639)
경기도 안양시,재건축,425,553,2005,2010,'05.12.22,권지영(031-8045-5639)
경기도 안양시,재건축,313,392,2005,2009,'06.04.24,권지영(031-8045-5639)
경기도 안양시,재건축,224,281,2005,2011,'05.10.25,권지영(031-8045-5639)
경기도 화성시,재개발,91,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,227,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,447,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,94,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,181,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,109,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,61,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,47,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,254,0,,,,윤종열(031-5189-2405)
경기도 화성시,재개발,115,0,,,,윤종열(031-5189-2405)
경기도 화성시,도시환경,69,0,,,,윤종열(031-5189-2405)
경기도 화성시,도시환경,58,0,,,,윤종열(031-5189-2405)
경기도 화성시,도시환경,154,0,,,,윤종열(031-5189-2405)
경기도 화성시,재건축,198,405,2013,,,윤종열(031-5189-2405)
경기도 평택시,재건축,1374,1918,2015,2025,,정예주(031-8024-4172)
경기도 평택시,재개발,453,1573,2008,2025,'10.07.19,차윤(031-8024-4132)
경기도 평택시,재건축,420,1107,2012,,'18.07.03,정예주(031-8024-4172)
경기도 평택시,재건축,156,259,2011,,'11.09.23,정예주(031-8024-4172)
경기도 평택시,주거환경개선,,0,2014,2020,'16.02.29,김학형(031-8024-4122)
경기도 평택시,재건축,450,553,2007,2009,'06.01.23,정예주(031-8024-4172)
경기도 평택시,재건축,810,903,2007,2009,'06.03.23,정예주(031-8024-4172)
경기도 평택시,재건축,582,828,2007,2009,'06.03.21,정예주(031-8024-4172)
경기도 평택시,재건축,450,718,2007,2009,'06.04.24,정예주(031-8024-4172)
경기도 평택시,주거환경개선,148,0,2006,2014,'08.06.25,정예주(031-8024-4172)
경기도 평택시,주거환경개선,85,0,2006,2016,'08.06.25,정예주(031-8024-4172)
경기도 시흥시,재건축,335,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,474,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,342,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,401,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,783,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,1272,0,,,,현교훈(031-310-3762)
경기도 시흥시,재개발,1534,0,,,,현교훈(031-310-3762)
경기도 시흥시,재건축,800,0,,,,현교훈(031-310-3762)
경기도 시흥시,재건축,492,0,2013,,,현교훈(031-310-3762)
경기도 시흥시,재건축,1025,1026,2013,,'20.09.29,현교훈(031-310-3762)
경기도 시흥시,재개발,673,1382,2006,,'15.10.08,현교훈(031-310-3762)
경기도 시흥시,주거환경개선,234,313,2005,2010,'05.12.31,현교훈(031-310-3762)
경기도 김포시,주거환경개선,,0,2018,,,박희진(031-980-5594)
경기도 김포시,주거환경관리,126,0,2014,2019,,박희진(031-980-5594)
경기도 광명시,재건축,1080,1490,2014,2022,'19.06.13,김영진(02-2680-6954)
경기도 광명시,재건축,2064,3801,2014,2022,'18.12.28,김영환(02-2680-2907)
경기도 광명시,재건축,599,1313,2014,2021,'17.08.08,김영환(02-2680-2907)
경기도 광명시,재건축,470,798,2014,2021,'16.06.30,김영환(02-2680-2907)
경기도 광명시,재개발,517,900,2003,2007,'03.05.06,김영환(02-2680-2907)
경기도 광명시,재건축,241,1267,2006,2015,'06.06.30,김영환(02-2680-2907)
경기도 광명시,재건축,273,577,2004,2007,'03.06.26,김영환(02-2680-2907)
경기도 광명시,재건축,1000,1264,2006,2009,'05.05.16,김영환(02-2680-2907)
경기도 광명시,재건축,1900,2072,2006,2009,'05.05.16,김영환(02-2680-2907)
경기도 광명시,재건축,2440,2815,2006,2010,'05.05.16,김영환(02-2680-2907)
경기도 광명시,재건축,940,1248,2006,2009,'05.05.16,김영환(02-2680-2907)
경기도 광명시,주거환경개선,1952,2351,1996,2002,'96.11.14,고성근(02-2680-0738)
경기도 광명시,주거환경개선,281,401,1997,2001,'97.09.30,고성근(02-2680-0738)
경기도 광명시,주거환경개선,919,1760,2003,2010,'05.02.07,고성근(02-2680-0738)
경기도 군포시,도시환경,610,1046,2010,2025,,이수민(031-390-0983)
경기도 군포시,재건축,1728,2644,2002,2010,'06.07.10,민승준(031-390-0725)
경기도 오산시,도시환경,110,515,2016,2021,'18.09.12,류상범(031-8036-7774)
경기도 오산시,주거환경관리,433,0,2013,2020,,하상종(031-8036-7773)
경기도 이천시,재개발,284,616,2013,2024,'20.12.31,이은영(031-644-7133)
경기도 안성시,재개발,214,199,2013,,,조재성(031-678-3022)
경기도 의왕시,재개발,149,618,2008,2025,,임재원(031-345-3494)
경기도 의왕시,재건축,1324,1579,,,,박민호(031-345-3498)
경기도 의왕시,도시환경,161,477,2012,2025,,유태초(031-345-3497)
경기도 의왕시,재개발,737,1913,2008,2023,'20.12.17,홍성진(031-345-3492)
경기도 의왕시,재개발,1763,3209,2008,2025,'20.12.17,홍성진(031-345-3492)
경기도 의왕시,도시환경,149,933,2008,2024,'21.03.29,박민호(031-345-3498)
경기도 의왕시,재개발,961,1719,2008,2023,'17.04.26,임재원(031-345-3494)
경기도 의왕시,재개발,1360,2180,2008,2023,'18.02.05,임재원(031-345-3494)
경기도 의왕시,재개발,1397,2633,2008,2023,'18.04.11,임재원(031-345-3494)
경기도 의왕시,재개발,233,733,2008,2023,'14.06.18,박민호(031-345-3498)
경기도 의왕시,재건축,654,941,2008,2021,'14.02.12,유태초(031-345-3497)
경기도 의왕시,재건축,2230,2540,2002,2009,'05.05.16,유태초(031-345-3497)
경기도 의왕시,재건축,519,696,2003,2009,'05.05.16,유태초(031-345-3497)
경기도 의왕시,재건축,420,447,2003,2009,'06.06.13,유태초(031-345-3497)
경기도 의왕시,재건축,1276,2422,2002,2011,'05.05.16,유태초(031-345-3497)
경기도 의왕시,도시환경,41,536,2010,2019,'12.01.27,유태초(031-345-3497)
경기도 하남시,재개발,1046,980,2010,2025,'20.07.30,곽병서(031-790-5186)
경기도 과천시,재건축,2120,2859,,,,차환(02-3677-2652)
경기도 과천시,재건축,632,1339,,,,박초롱(02-3677-2657)
경기도 과천시,재개발,420,880,2018,2025,,이명진(02-3677-2656)
경기도 과천시,재건축,800,1240,2020,2027,,김민수(02-3677-2653)
경기도 과천시,재건축,1110,1437,2018,2024,'20.09.01,박초롱(02-3677-2657)
경기도 과천시,재건축,1620,2128,2012,,'15.06.30,차환(02-3677-2652)
경기도 과천시,재건축,722,1317,2013,2019,'15.08.27,김민수(02-3677-2653)
경기도 과천시,재건축,44,100,2007,2020,'06.07.11,이명진(02-3677-2656)
경기도 과천시,재건축,1062,1571,2012,2019,'15.06.17,김민수(02-3677-2653)
경기도 과천시,재건축,400,543,2013,2018,'14.10.31,김민수(02-3677-2653)
경기도 남양주시,재개발,228,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,172,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,560,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,164,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,468,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,285,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,417,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,263,0,,,,김원호(031-590-8753)
경기도 남양주시,재개발,211,0,,,,김원호(031-590-8753)
경기도 남양주시,재건축,2296,0,,,,박형진(031-590-4769)
경기도 남양주시,재건축,339,339,2010,,,김원호(031-590-8753)
경기도 남양주시,재건축,270,270,2010,,,김원호(031-590-8753)
경기도 남양주시,재건축,413,576,2016,2022,,허용욱(031-590-2386)
경기도 남양주시,재건축,1260,1843,2010,,'10.09.17,김선혁(031-590-4317)
경기도 남양주시,재건축,1005,1108,2010,2022,'16.12.22,양현덕(031-590-4417)
경기도 남양주시,재건축,1470,1008,2003,2015,'07.03.22,김선혁(031-590-4317)
경기도 남양주시,재건축,212,457,2003,2014,'07.07.23,양현덕(031-590-4417)
경기도 남양주시,재건축,177,317,2000,2013,'09.11.03,양현덕(031-590-4417)
경기도 의정부시,재개발,912,1070,2018,2028,,현지영(031-828-8844)
경기도 의정부시,재개발,460,902,2015,2022,'18.12.27,이미연(031-828-8843)
경기도 의정부시,재개발,209,769,2014,2023,'14.01.28,이미연(031-828-8843)
경기도 의정부시,재개발,432,832,2012,2024,'12.12.07,현지영(031-828-8844)
경기도 의정부시,재개발,759,926,2014,2025,'16.05.17,신경연(031-828-8842)
경기도 의정부시,재개발,245,466,2014,2023,'14.04.03,신경연(031-828-8842)
경기도 의정부시,재개발,1858,2473,2014,2025,'15.03.31,신경연(031-828-8842)
경기도 의정부시,재개발,175,420,2014,2023,'14.01.24,현지영(031-828-8844)
경기도 의정부시,재개발,174,677,2013,2021,'13.09.11,이미연(031-828-8843)
경기도 의정부시,재건축,1580,2571,2016,2022,'16.11.01,이미연(031-828-8843)
경기도 의정부시,주거환경개선,108,0,2006,2012,'12.04.12,김민석(031-828-8845)
경기도 동두천시,주거환경개선,295,0,2007,,,강정훈(031-860-2374)
경기도 동두천시,재건축,120,217,2014,,,유재란(031-860-2392)
경기도 동두천시,재건축,300,576,2014,,'20.03.11,최민석(031-860-2402)
경기도 동두천시,주거환경개선,408,0,2007,2016,'13.03.15,강정훈(031-860-2374)
경기도 동두천시,주거환경개선,225,0,2007,2015,'13.05.31,강정훈(031-860-2374)
경기도 동두천시,주거환경개선,185,0,2007,2012,'10.02.18,강정훈(031-860-2374)
경기도 고양시,재개발,723,0,,,,송현직(031-8075-3435)
경기도 고양시,재건축,435,0,,,,송현직(031-8075-3435)
경기도 고양시,재개발,9,390,2015,,,송현직(031-8075-3435)
경기도 고양시,재개발,196,352,2009,,,송현직(031-8075-3435)
경기도 고양시,재건축,267,272,2010,,,권호영(031-8075-3432)
경기도 고양시,재개발,160,260,2008,,'11.06.24,송현직(031-8075-3435)
경기도 고양시,재건축,534,834,2007,,'08.03.14,권호영(031-8075-3432)
경기도 고양시,재건축,1260,1651,2007,2010,'06.05.24,송현직(031-8075-3435)
경기도 고양시,재건축,1050,1486,2005,2009,'06.06.20,송현직(031-8075-3435)
경기도 고양시,재건축,33,589,2007,2012,'08.12.31,송현직(031-8075-3435)
경기도 고양시,도시환경,33,340,2007,2012,'07.09.21,송현직(031-8075-3435)
경기도 구리시,재개발,477,1096,2013,,'20.02.17,홍주영(031-550-8304)
경기도 구리시,재건축,305,565,2004,2022,'08.12.24,배강록(031-550-2411)
경기도 구리시,재개발,375,632,2005,2021,'08.02.11,홍주영(031-550-8304)
경기도 구리시,재건축,257,410,2004,2021,'16.02.04,방제훈(031-550-8302)
경기도 양주시,재개발,100,0,,,,송용재(031-8082-6561)
경기도 양주시,재개발,80,0,,,,송용재(031-8082-6561)
경기도 양주시,재개발,88,0,,,,송용재(031-8082-6561)
경기도 양주시,재개발,61,0,,,,송용재(031-8082-6561)
