idx,status,contact,legal_code,name
954,폐업,,경상북도 경산시 대평동 431-10번지,에비안 동물병원
955,폐업,816-7975,경상북도 경산시 옥산동 758-4번지,행복한 동물병원
956,폐업,801-0975,경상북도 경산시 중산동 623번지,펫프렌즈 동물병원
957,폐업,801-0975,경상북도 경산시 중산동 623번지 이마트내 2층,펫프렌즈동물병원
958,폐업,,경상북도 경산시 남산면 산양리 70-20번지,남산동물병원
959,폐업,813-7782,경상북도 경산시 옥곡동 823-12,응급진료 굿모닝동물병원
960,폐업,812-1030,경상북도 경산시 압량면 신대리 396-1,동부가축병원
961,폐업,,경상북도 경산시 옥산동 852-2번지,KEPC 동물병원
962,폐업,,경상북도 경산시 하양읍 동서리 1090번지,한국종합동물병원
963,폐업,854-0896,경상북도 경산시 하양읍 동서리 1090번지,한국동물병원
964,폐업,852-7574,경상북도 경산시 와촌면 동강리 209-1번지,한빛동물병원
965,폐업,,경상북도 경산시 하양읍 동서리 624-5   번지,신한국동물병원
966,폐업,854-0896,경상북도 경산시 하양읍 동서리 521-3번지,한국동물병원
967,폐업,,경상북도 영천시 화북면 자천리 1502-3번지 2통,자천가축병원
968,폐업,054-331-0601,경상북도 영천시 완산동 1085-1번지,영천동물병원
969,폐업,054-927-6979,경상북도 영천시 금호읍 교대리 180-15번지,현대동물병원
970,폐업,054-334-3559,경상북도 영천시 화룡동 219-16번지,자연과 함께하는 동물병원
971,폐업,,경상북도 영천시 금호읍 덕성리 101-4번지,한빛동물병원
972,폐업,,경상북도 영천시 청통면 치일리 8-4번지,한빛동물병원
973,폐업,,경상북도 영천시 성내동 41-2번지 청구타운,삼성동물병원
974,폐업,,경상북도 영천시 금호읍 덕성리 101-8번지,금호가축병원
975,폐업,,경상북도 영천시 신녕면 화성리 868-6번지,신령가축병원
976,폐업,,경상북도 영천시 완산동 1055번지,박수의과병원
977,폐업,,인천광역시 남동구 논현동 733-5번지 나로프라자,한화동물병원
978,폐업,032-544-7555,인천광역시 남동구 논현동 733-130번지,비타민 동물병원
979,폐업,,인천광역시 남동구 간석동 292-4번지 101호,키움 종합동물병원
980,폐업,467-1275,인천광역시 남동구 만수동 889-15번지,길동물병원
981,폐업,,인천광역시 남동구 구월동 1241-16번지,위너스동물병원
982,폐업,425-7533,인천광역시 남동구 구월동 1177-3번지,연세동물병원
983,폐업,428-0275,인천광역시 남동구 논현동 561-2번지,조은동물병원
984,폐업,,인천광역시 남동구 구월동 1461번지,멍멍냐옹동물병원
985,폐업,463-8801,인천광역시 남동구 만수동 961-31,신진동물병원
986,폐업,421-7755,인천광역시 남동구 간석동 283-5번지,희망동물병원
987,폐업,,인천광역시 남동구 구월동 1394-9   번지,보람동물병원
988,폐업,423-6616,인천광역시 남동구 간석동 39-13번지 제1호,효성동물병원
989,폐업,228-1859,인천광역시 남동구 고잔동 678-1번지,서울동물병원
990,폐업,466-8670,인천광역시 남동구 만수동 102-8번지,기분좋은동물병원
991,폐업,437-5535,인천광역시 남동구 간석동 570-5   번지,동암동물병원
992,폐업,423-1289,인천광역시 남동구 간석동 216-4   번지,엘지동물병원
993,폐업,439-0039,인천광역시 남동구 구월동 1406-9   번지,동물의왕국동물병원
994,폐업,427-9372,인천광역시 남동구 간석동 749-8   번지,연세동물병원
995,폐업,468-7533,인천광역시 남동구 만수동 897-2번지,신세계동물병원
996,폐업,431-2916,인천광역시 남동구 구월동 1457번지 이노프라자 101호,킹덤펫동물병원
997,폐업,427-3578,인천광역시 남동구 간석동 908번지 덕산상가APT 101동 B101호,강아지와고양이나라병원
998,폐업,427-3579,인천광역시 남동구 간석동 908번지 덕산상가APT 101동 111호,강아지와고양이나라
999,폐업,437-7525,인천광역시 남동구 간석동 573-1   번지 성우네오빌 105~107호,D&C동물병원
1000,폐업,,인천광역시 남동구 간석동 542-2  번지 1층  108호,주원숲속동물병원
1001,폐업,,인천광역시 남동구 만수동 956-1번지,닥터남 동물병원
1002,폐업,,인천광역시 남동구 구월동 1238-9번지 미가애 1층 101호,다비드 동물병원
1003,폐업,032-437-5535,인천광역시 남동구 간석동 570-5   번지,동암 동물병원
1004,폐업,439-0039,인천광역시 남동구 구월동 1406-9번지,동물의왕국동물병원
1005,폐업,432-0075,인천광역시 남동구 간석동 210-9번지,독스동물병원
1006,폐업,439-0039,인천광역시 남동구 구월동 1406-9번지,동물의왕국동물병원
1007,폐업,433-3640,인천광역시 남동구 간석동 914번지,도그인동물병원
1008,폐업,424-1288,인천광역시 남동구 간석동 216-10  번지,LG동물병원
1009,폐업,032)432-0075,인천광역시 남동구 간석동 210-2번지 1층,24시독스동물병원
1010,폐업,441-5155,인천광역시 남동구 간석동 900-138번지,위드동물병원
1011,폐업,032)433-7572,인천광역시 남동구 논현동 39블럭 2로트 101호,마루동물병원
1012,폐업,032-432-0075,인천광역시 남동구 간석동 210-2번지 1층,24시독스동물병원
1013,폐업,032)666-7282,인천광역시 남동구 논현동 608-3번지 선하우스 1층,에코동물병원
1014,폐업,469-7588,인천광역시 남동구 만수동 916-2   번지,행복한종합동물병원
1015,폐업,032-433-3440,인천광역시 남동구 간석동 914번지,도그인동물병원
1016,폐업,439-0039,인천광역시 남동구 구월동 1406-9번지,동물의왕국동물병원
1017,폐업,442-9111,인천광역시 남동구 간석동 343-5,주주동물병원
1018,폐업,203-0072,인천광역시 미추홀구 용현동 621-3번지,튼튼동물병원
1019,폐업,,인천광역시 미추홀구 용현동 622-129번지,용현동우리동물병원
1020,폐업,203-0085,인천광역시 미추홀구 용현동 622-129 번지,우리동물병원
1021,폐업,245-2455,인천광역시 미추홀구 학익동 677-1번지 인천향교회관,조인성 동물클리닉
1022,폐업,868-2626,인천광역시 미추홀구 학익동 214-4번지,학익동물병원
1023,폐업,,인천광역시 미추홀구 주안동 10-55번지,우리(개팔자상팔자)병원
1024,폐업,032-203-0075,인천광역시 미추홀구 주안동 24-2   번지,개팔자 상팔자 동물병원
1025,폐업,875-7566,인천광역시 미추홀구 용현동 648번지 홈에버 지하1층,동물병원 쿨펫
1026,폐업,434-0085,인천광역시 미추홀구 학익동 673-3,문학동물병원
1027,폐업,868-2526,인천광역시 미추홀구 용현동 43-1   번지,삼성동물병원
1028,폐업,,인천광역시 미추홀구 주안동 24-2   번지,우리동물병원
1029,폐업,868-2526,인천광역시 미추홀구 용현동 43-1번지,삼성동물병원
1030,폐업,868-2526,인천광역시 미추홀구 용현동 43-1번지,삼성종합동물병원
1031,폐업,,인천광역시 미추홀구 주안동 1617번지 주상가 119호,정서동물병원
1032,폐업,,인천광역시 미추홀구 용현동 648번지,아이러브펫동물병원
1033,폐업,,인천광역시 미추홀구 주안동 22-12,러브펫동물병원
1034,폐업,032)429-7577,인천광역시 미추홀구 주안동 233-1번지,불독동물병원
1035,폐업,,인천광역시 중구 항동7가 58-84번지,조인성 동물병원
1036,폐업,032-813-6125,인천광역시 연수구 송도동 168-3번지 홈플러스 복합쇼핑몰(송도점),이리온 동물병원
1037,폐업,,인천광역시 미추홀구 주안동 1417-93번지,경기동물병원
1038,폐업,,인천광역시 미추홀구 주안동 1493-14 번지,세란동물병원
1039,폐업,,인천광역시 미추홀구 용현동 43-1   번지,삼성종합동물병원
1040,폐업,322030072,인천광역시 미추홀구 용현동 621-68번지,페트로 동물병원
1041,폐업,032-437-7588,인천광역시 미추홀구 주안동 1467번지,시드니종합동물병원
1042,폐업,765-6020,인천광역시 중구 경동 240-14번지,신포동물병원
1043,폐업,772-7467,인천광역시 중구 경동 94번지,동아동물병원
1044,폐업,762-7555,인천광역시 중구 신흥동2가 16-37번지 4통2반,신흥동물병원
1045,폐업,885-7578,인천광역시 중구 신흥동3가 6-11  번지,우리동물병원
1046,폐업,,인천광역시 중구 인현동 27-37번지,DJ.DOG 동물병원
1047,폐업,777-0975,인천광역시 중구 신생동 38번지 이마트 동인천점 3층,라파엘 동물병원
1048,폐업,765-6020,인천광역시 중구 경동 240-14번지,신포동물병원
1049,폐업,,인천광역시 중구 신흥동3가 6-11번지,우리동물병원
1050,폐업,203-0075,인천광역시 미추홀구 주안동 24-2번지,우리동물병원
1051,폐업,055-283-0209,인천광역시 미추홀구 용현동 622-129번지,우리동물병원
1052,폐업,032-203-0085,인천광역시 미추홀구 용현동 622-129번지,우리동물병원
1053,폐업,882-2980,인천광역시 중구 도원동 12-91번지 5통1반,동인천동물병원
